record_id,status,QTP,QFN,QFP,qrs_se_percent,qrs_plus_p_percent,float_QTP,float_QFN,float_QFP,float_qrs_se_percent,float_qrs_plus_p_percent,fixed_QTP,fixed_QFN,fixed_QFP,fixed_qrs_se_percent,fixed_qrs_plus_p_percent,reference_count,float_output_count,fixed_output_count,max_mapping_error_ms,float_fixed_mismatch_count
data/1,evaluated,6,0,2,100.0,75.0,6,0,2,100.0,75.0,6,0,2,100.0,75.0,6,8,8,2.000000000000224,1
data/2,evaluated,9,0,3,100.0,75.0,9,0,3,100.0,75.0,9,0,3,100.0,75.0,9,12,12,2.0000000000000018,2
data/3,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,1.0000000000012221,11
data/4,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,2.000000000000668,1
data/5,evaluated,7,0,3,100.0,70.0,7,0,3,100.0,70.0,7,0,3,100.0,70.0,7,10,10,1.9999999999997797,0
data/6,evaluated,7,0,3,100.0,70.0,7,0,3,100.0,70.0,7,0,3,100.0,70.0,7,10,10,1.9999999999997797,0
data/7,evaluated,8,0,3,100.0,72.72727272727273,8,0,3,100.0,72.72727272727273,8,0,3,100.0,72.72727272727273,8,11,11,1.9999999999997797,1
data/8,evaluated,10,0,11,100.0,47.61904761904761,10,0,11,100.0,47.61904761904761,10,0,11,100.0,47.61904761904761,10,21,21,2.000000000000224,16
data/9,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,1.9999999999997797,0
data/10,evaluated,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,10,11,1.9999999999997797,11
data/11,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,1.9999999999997797,1
data/12,evaluated,7,0,4,100.0,63.63636363636363,7,0,4,100.0,63.63636363636363,7,0,4,100.0,63.63636363636363,7,11,11,2.000000000000668,1
data/13,evaluated,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,9,9,2.000000000000668,2
data/14,evaluated,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,14,14,2.000000000000668,0
data/15,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000224,0
data/16,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,2.000000000000224,0
data/17,evaluated,10,0,3,100.0,76.92307692307693,10,0,3,100.0,76.92307692307693,10,0,3,100.0,76.92307692307693,10,13,13,1.000000000000334,0
data/18,evaluated,11,0,3,100.0,78.57142857142857,11,0,3,100.0,78.57142857142857,11,0,3,100.0,78.57142857142857,11,14,14,2.000000000000668,0
data/19,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,1.9999999999997797,2
data/20,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.000000000000224,7
