reference_sample_index,time_ms,category,mechanism,selected_leads,detecting_leads,detecting_lead_count,lead_amplitudes,record_id
1157,4628.0,voting_insufficient,Only 1 lead (aVR) detected beat; failed 2-of-3 fusion requirement,III+aVR+aVL,aVR,1,"{""I"": 45, ""II"": 90, ""III"": 65, ""aVR"": 81, ""aVL"": 35, ""aVF"": 80, ""V1"": 79, ""V2"": 81, ""V3"": 79, ""V4"": 76, ""V5"": 60, ""V6"": 59}",data/8
623,2492.0,voting_insufficient,Only 1 lead (III) detected beat; failed 2-of-3 fusion requirement,III+I+II,III,1,"{""I"": 125, ""II"": 134, ""III"": 83, ""aVR"": 150, ""aVL"": 75, ""aVF"": 113, ""V1"": 138, ""V2"": 130, ""V3"": 130, ""V4"": 55, ""V5"": 101, ""V6"": 119}",data/24
920,3680.0,voting_insufficient,Only 1 lead (III) detected beat; failed 2-of-3 fusion requirement,III+I+II,III,1,"{""I"": 132, ""II"": 130, ""III"": 72, ""aVR"": 148, ""aVL"": 89, ""aVF"": 100, ""V1"": 138, ""V2"": 130, ""V3"": 132, ""V4"": 55, ""V5"": 101, ""V6"": 126}",data/24
1215,4860.0,voting_insufficient,Only 1 lead (III) detected beat; failed 2-of-3 fusion requirement,III+I+II,III,1,"{""I"": 137, ""II"": 121, ""III"": 60, ""aVR"": 147, ""aVL"": 103, ""aVF"": 89, ""V1"": 153, ""V2"": 152, ""V3"": 150, ""V4"": 62, ""V5"": 102, ""V6"": 127}",data/24
1511,6044.0,voting_insufficient,Only 1 lead (III) detected beat; failed 2-of-3 fusion requirement,III+V4+I,III,1,"{""I"": 111, ""II"": 142, ""III"": 86, ""aVR"": 148, ""aVL"": 83, ""aVF"": 118, ""V1"": 145, ""V2"": 158, ""V3"": 162, ""V4"": 97, ""V5"": 108, ""V6"": 126}",data/24
376,1504.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (40 LSB) vs unselected leads (125 LSB),I+II+III,none,0,"{""I"": 33, ""II"": 40, ""III"": 30, ""aVR"": 55, ""aVL"": 32, ""aVF"": 27, ""V1"": 98, ""V2"": 121, ""V3"": 105, ""V4"": 61, ""V5"": 77, ""V6"": 125}",data/34
628,2512.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (44 LSB) vs unselected leads (146 LSB),I+II+III,none,0,"{""I"": 40, ""II"": 44, ""III"": 32, ""aVR"": 65, ""aVL"": 34, ""aVF"": 30, ""V1"": 104, ""V2"": 125, ""V3"": 101, ""V4"": 30, ""V5"": 101, ""V6"": 146}",data/34
876,3504.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (31 LSB) vs unselected leads (138 LSB),I+II+III,none,0,"{""I"": 30, ""II"": 31, ""III"": 30, ""aVR"": 44, ""aVL"": 31, ""aVF"": 29, ""V1"": 83, ""V2"": 121, ""V3"": 115, ""V4"": 71, ""V5"": 100, ""V6"": 138}",data/34
1129,4516.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (47 LSB) vs unselected leads (124 LSB),I+II+III,none,0,"{""I"": 36, ""II"": 47, ""III"": 40, ""aVR"": 42, ""aVL"": 38, ""aVF"": 41, ""V1"": 107, ""V2"": 124, ""V3"": 101, ""V4"": 53, ""V5"": 84, ""V6"": 110}",data/34
1379,5516.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (50 LSB) vs unselected leads (126 LSB),I+II+III,none,0,"{""I"": 32, ""II"": 50, ""III"": 40, ""aVR"": 38, ""aVL"": 38, ""aVF"": 42, ""V1"": 96, ""V2"": 120, ""V3"": 99, ""V4"": 51, ""V5"": 105, ""V6"": 126}",data/34
1629,6516.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (53 LSB) vs unselected leads (122 LSB),I+II+III,none,0,"{""I"": 31, ""II"": 53, ""III"": 39, ""aVR"": 36, ""aVL"": 36, ""aVF"": 42, ""V1"": 96, ""V2"": 122, ""V3"": 102, ""V4"": 43, ""V5"": 107, ""V6"": 121}",data/34
1878,7512.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (58 LSB) vs unselected leads (132 LSB),I+II+III,none,0,"{""I"": 38, ""II"": 58, ""III"": 40, ""aVR"": 41, ""aVL"": 36, ""aVF"": 45, ""V1"": 102, ""V2"": 128, ""V3"": 92, ""V4"": 41, ""V5"": 128, ""V6"": 132}",data/34
2129,8516.0,sub_threshold_amplitude,Low global QRS amplitude (69 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 23, ""II"": 69, ""III"": 39, ""aVR"": 16, ""aVL"": 33, ""aVF"": 46, ""V1"": 90, ""V2"": 124, ""V3"": 112, ""V4"": 71, ""V5"": 108, ""V6"": 104}",data/34
308,1232.0,sub_threshold_amplitude,Low global QRS amplitude (98 LSB) below adaptive detection threshold,V2+I+II,none,0,"{""I"": 52, ""II"": 97, ""III"": 76, ""aVR"": 43, ""aVL"": 54, ""aVF"": 101, ""V1"": 51, ""V2"": 98, ""V3"": 129, ""V4"": 126, ""V5"": 88, ""V6"": 109}",data/45
466,1864.0,sub_threshold_amplitude,Low global QRS amplitude (88 LSB) below adaptive detection threshold,V2+I+II,none,0,"{""I"": 82, ""II"": 69, ""III"": 41, ""aVR"": 102, ""aVL"": 64, ""aVF"": 20, ""V1"": 116, ""V2"": 88, ""V3"": 23, ""V4"": 31, ""V5"": 65, ""V6"": 61}",data/45
773,3092.0,sub_threshold_amplitude,Low global QRS amplitude (91 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 22, ""II"": 91, ""III"": 77, ""aVR"": 35, ""aVL"": 58, ""aVF"": 99, ""V1"": 24, ""V2"": 31, ""V3"": 110, ""V4"": 120, ""V5"": 92, ""V6"": 98}",data/45
1022,4088.0,sub_threshold_amplitude,Low global QRS amplitude (85 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 52, ""II"": 85, ""III"": 74, ""aVR"": 36, ""aVL"": 56, ""aVF"": 93, ""V1"": 44, ""V2"": 91, ""V3"": 100, ""V4"": 102, ""V5"": 77, ""V6"": 84}",data/45
1272,5088.0,sub_threshold_amplitude,Low global QRS amplitude (85 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 51, ""II"": 85, ""III"": 76, ""aVR"": 39, ""aVL"": 59, ""aVF"": 95, ""V1"": 42, ""V2"": 83, ""V3"": 104, ""V4"": 98, ""V5"": 77, ""V6"": 81}",data/45
1522,6088.0,sub_threshold_amplitude,Low global QRS amplitude (78 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 56, ""II"": 78, ""III"": 66, ""aVR"": 40, ""aVL"": 60, ""aVF"": 84, ""V1"": 36, ""V2"": 84, ""V3"": 108, ""V4"": 99, ""V5"": 81, ""V6"": 71}",data/45
1773,7092.0,sub_threshold_amplitude,Low global QRS amplitude (100 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 29, ""II"": 100, ""III"": 73, ""aVR"": 48, ""aVL"": 49, ""aVF"": 100, ""V1"": 16, ""V2"": 33, ""V3"": 115, ""V4"": 121, ""V5"": 108, ""V6"": 86}",data/45
2021,8084.0,sub_threshold_amplitude,Low global QRS amplitude (88 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 67, ""II"": 88, ""III"": 67, ""aVR"": 51, ""aVL"": 69, ""aVF"": 90, ""V1"": 26, ""V2"": 94, ""V3"": 120, ""V4"": 109, ""V5"": 95, ""V6"": 77}",data/45
316,1264.0,sub_threshold_amplitude,Low global QRS amplitude (62 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 14, ""II"": 62, ""III"": 30, ""aVR"": 56, ""aVL"": 18, ""aVF"": 42, ""V1"": 42, ""V2"": 24, ""V3"": 99, ""V4"": 81, ""V5"": 55, ""V6"": 25}",data/74
566,2264.0,sub_threshold_amplitude,Low global QRS amplitude (58 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 10, ""II"": 58, ""III"": 32, ""aVR"": 47, ""aVL"": 21, ""aVF"": 42, ""V1"": 35, ""V2"": 21, ""V3"": 102, ""V4"": 88, ""V5"": 54, ""V6"": 28}",data/74
815,3260.0,sub_threshold_amplitude,Low global QRS amplitude (57 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 10, ""II"": 57, ""III"": 32, ""aVR"": 44, ""aVL"": 23, ""aVF"": 42, ""V1"": 20, ""V2"": 14, ""V3"": 106, ""V4"": 85, ""V5"": 58, ""V6"": 35}",data/74
1066,4264.0,sub_threshold_amplitude,Low global QRS amplitude (60 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 8, ""II"": 60, ""III"": 33, ""aVR"": 46, ""aVL"": 24, ""aVF"": 44, ""V1"": 29, ""V2"": 8, ""V3"": 99, ""V4"": 78, ""V5"": 64, ""V6"": 40}",data/74
1318,5272.0,sub_threshold_amplitude,Low global QRS amplitude (54 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 12, ""II"": 54, ""III"": 35, ""aVR"": 35, ""aVL"": 26, ""aVF"": 42, ""V1"": 25, ""V2"": 15, ""V3"": 84, ""V4"": 74, ""V5"": 60, ""V6"": 39}",data/74
1568,6272.0,suboptimal_lead_selection,Selected leads (I+III+aVL) had low amp (35 LSB) vs unselected leads (80 LSB),I+III+aVL,none,0,"{""I"": 19, ""II"": 45, ""III"": 35, ""aVR"": 19, ""aVL"": 29, ""aVF"": 40, ""V1"": 28, ""V2"": 14, ""V3"": 72, ""V4"": 80, ""V5"": 58, ""V6"": 42}",data/74
2067,8268.0,sub_threshold_amplitude,Low global QRS amplitude (45 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 25, ""II"": 45, ""III"": 39, ""aVR"": 29, ""aVL"": 34, ""aVF"": 42, ""V1"": 24, ""V2"": 16, ""V3"": 84, ""V4"": 81, ""V5"": 74, ""V6"": 59}",data/74
2317,9268.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (40 LSB) vs unselected leads (81 LSB),I+II+III,none,0,"{""I"": 32, ""II"": 39, ""III"": 40, ""aVR"": 35, ""aVL"": 37, ""aVF"": 41, ""V1"": 18, ""V2"": 14, ""V3"": 78, ""V4"": 81, ""V5"": 69, ""V6"": 58}",data/74
185,740.0,startup_unsettled,Beat occurred in initial 0.75s startup calibration window,I+II+III,none,0,"{""I"": 78, ""II"": 129, ""III"": 123, ""aVR"": 129, ""aVL"": 110, ""aVF"": 127, ""V1"": 83, ""V2"": 114, ""V3"": 73, ""V4"": 48, ""V5"": 69, ""V6"": 91}",data/83
344,1376.0,sub_threshold_amplitude,Low global QRS amplitude (64 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 64, ""II"": 57, ""III"": 62, ""aVR"": 69, ""aVL"": 60, ""aVF"": 61, ""V1"": 51, ""V2"": 56, ""V3"": 43, ""V4"": 39, ""V5"": 55, ""V6"": 62}",data/83
601,2404.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (49 LSB) vs unselected leads (140 LSB),I+II+III,none,0,"{""I"": 49, ""II"": 44, ""III"": 49, ""aVR"": 32, ""aVL"": 50, ""aVF"": 46, ""V1"": 99, ""V2"": 140, ""V3"": 138, ""V4"": 79, ""V5"": 42, ""V6"": 83}",data/83
880,3520.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (45 LSB) vs unselected leads (140 LSB),I+II+III,none,0,"{""I"": 44, ""II"": 37, ""III"": 45, ""aVR"": 30, ""aVL"": 46, ""aVF"": 43, ""V1"": 91, ""V2"": 140, ""V3"": 139, ""V4"": 83, ""V5"": 40, ""V6"": 86}",data/83
1082,4328.0,sub_threshold_amplitude,Low global QRS amplitude (142 LSB) below adaptive detection threshold,I+V3+V4,none,0,"{""I"": 39, ""II"": 35, ""III"": 42, ""aVR"": 34, ""aVL"": 42, ""aVF"": 40, ""V1"": 92, ""V2"": 136, ""V3"": 142, ""V4"": 83, ""V5"": 39, ""V6"": 76}",data/83
1631,6524.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (39 LSB) vs unselected leads (140 LSB),I+II+III,none,0,"{""I"": 39, ""II"": 30, ""III"": 35, ""aVR"": 29, ""aVL"": 36, ""aVF"": 34, ""V1"": 68, ""V2"": 135, ""V3"": 140, ""V4"": 74, ""V5"": 39, ""V6"": 75}",data/83
1881,7524.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (39 LSB) vs unselected leads (143 LSB),I+II+III,none,0,"{""I"": 36, ""II"": 33, ""III"": 39, ""aVR"": 17, ""aVL"": 39, ""aVF"": 37, ""V1"": 68, ""V2"": 135, ""V3"": 143, ""V4"": 72, ""V5"": 36, ""V6"": 75}",data/83
2064,8256.0,suboptimal_lead_selection,Selected leads (V6+I+II) had low amp (69 LSB) vs unselected leads (141 LSB),V6+I+II,none,0,"{""I"": 45, ""II"": 33, ""III"": 43, ""aVR"": 22, ""aVL"": 45, ""aVF"": 40, ""V1"": 65, ""V2"": 134, ""V3"": 141, ""V4"": 79, ""V5"": 30, ""V6"": 69}",data/83
2295,9180.0,voting_insufficient,Only 1 lead (V6) detected beat; failed 2-of-3 fusion requirement,V6+I+II,V6,1,"{""I"": 38, ""II"": 31, ""III"": 19, ""aVR"": 60, ""aVL"": 20, ""aVF"": 24, ""V1"": 58, ""V2"": 132, ""V3"": 138, ""V4"": 75, ""V5"": 54, ""V6"": 115}",data/83
373,1492.0,sub_threshold_amplitude,Low global QRS amplitude (118 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 54, ""II"": 61, ""III"": 118, ""aVR"": 30, ""aVL"": 111, ""aVF"": 89, ""V1"": 99, ""V2"": 55, ""V3"": 98, ""V4"": 112, ""V5"": 120, ""V6"": 100}",data/90
623,2492.0,sub_threshold_amplitude,Low global QRS amplitude (116 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 30, ""II"": 78, ""III"": 116, ""aVR"": 51, ""aVL"": 88, ""aVF"": 100, ""V1"": 93, ""V2"": 60, ""V3"": 107, ""V4"": 136, ""V5"": 142, ""V6"": 136}",data/90
874,3496.0,sub_threshold_amplitude,Low global QRS amplitude (85 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 15, ""II"": 64, ""III"": 85, ""aVR"": 46, ""aVL"": 60, ""aVF"": 77, ""V1"": 46, ""V2"": 71, ""V3"": 113, ""V4"": 131, ""V5"": 132, ""V6"": 129}",data/90
1124,4496.0,sub_threshold_amplitude,Low global QRS amplitude (96 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 25, ""II"": 77, ""III"": 96, ""aVR"": 58, ""aVL"": 62, ""aVF"": 90, ""V1"": 46, ""V2"": 67, ""V3"": 133, ""V4"": 135, ""V5"": 125, ""V6"": 113}",data/90
1374,5496.0,sub_threshold_amplitude,Low global QRS amplitude (95 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 46, ""II"": 88, ""III"": 95, ""aVR"": 73, ""aVL"": 48, ""aVF"": 96, ""V1"": 40, ""V2"": 109, ""V3"": 129, ""V4"": 140, ""V5"": 131, ""V6"": 119}",data/90
1625,6500.0,sub_threshold_amplitude,Low global QRS amplitude (97 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 62, ""II"": 97, ""III"": 94, ""aVR"": 85, ""aVL"": 35, ""aVF"": 102, ""V1"": 60, ""V2"": 106, ""V3"": 114, ""V4"": 112, ""V5"": 120, ""V6"": 109}",data/90
1874,7496.0,sub_threshold_amplitude,Low global QRS amplitude (132 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 90, ""II"": 132, ""III"": 119, ""aVR"": 118, ""aVL"": 31, ""aVF"": 137, ""V1"": 58, ""V2"": 112, ""V3"": 145, ""V4"": 136, ""V5"": 118, ""V6"": 129}",data/90
2124,8496.0,sub_threshold_amplitude,Low global QRS amplitude (133 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 101, ""II"": 133, ""III"": 110, ""aVR"": 123, ""aVL"": 19, ""aVF"": 134, ""V1"": 46, ""V2"": 125, ""V3"": 137, ""V4"": 137, ""V5"": 114, ""V6"": 127}",data/90
432,1728.0,voting_insufficient,Only 1 lead (V3) detected beat; failed 2-of-3 fusion requirement,V3+I+II,V3,1,"{""I"": 83, ""II"": 112, ""III"": 93, ""aVR"": 107, ""aVL"": 61, ""aVF"": 105, ""V1"": 113, ""V2"": 144, ""V3"": 125, ""V4"": 118, ""V5"": 75, ""V6"": 68}",data/93
681,2724.0,voting_insufficient,Only 1 lead (V3) detected beat; failed 2-of-3 fusion requirement,V3+I+II,V3,1,"{""I"": 48, ""II"": 111, ""III"": 108, ""aVR"": 96, ""aVL"": 89, ""aVF"": 112, ""V1"": 78, ""V2"": 121, ""V3"": 118, ""V4"": 112, ""V5"": 84, ""V6"": 83}",data/93
933,3732.0,voting_insufficient,Only 1 lead (V3) detected beat; failed 2-of-3 fusion requirement,V3+I+II,V3,1,"{""I"": 47, ""II"": 144, ""III"": 142, ""aVR"": 128, ""aVL"": 120, ""aVF"": 145, ""V1"": 101, ""V2"": 131, ""V3"": 113, ""V4"": 97, ""V5"": 57, ""V6"": 92}",data/93
1180,4720.0,voting_insufficient,Only 1 lead (V3) detected beat; failed 2-of-3 fusion requirement,V3+I+II,V3,1,"{""I"": 31, ""II"": 120, ""III"": 112, ""aVR"": 105, ""aVL"": 87, ""aVF"": 119, ""V1"": 121, ""V2"": 147, ""V3"": 121, ""V4"": 110, ""V5"": 62, ""V6"": 88}",data/93
1430,5720.0,voting_insufficient,Only 1 lead (V3) detected beat; failed 2-of-3 fusion requirement,V3+I+II,V3,1,"{""I"": 34, ""II"": 132, ""III"": 131, ""aVR"": 111, ""aVL"": 107, ""aVF"": 135, ""V1"": 121, ""V2"": 122, ""V3"": 117, ""V4"": 105, ""V5"": 69, ""V6"": 104}",data/93
393,1572.0,sub_threshold_amplitude,Low global QRS amplitude (67 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 55, ""II"": 67, ""III"": 58, ""aVR"": 64, ""aVL"": 45, ""aVF"": 64, ""V1"": 32, ""V2"": 17, ""V3"": 55, ""V4"": 45, ""V5"": 68, ""V6"": 71}",data/95
643,2572.0,sub_threshold_amplitude,Low global QRS amplitude (58 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 43, ""II"": 54, ""III"": 58, ""aVR"": 47, ""aVL"": 51, ""aVF"": 59, ""V1"": 41, ""V2"": 12, ""V3"": 46, ""V4"": 33, ""V5"": 54, ""V6"": 60}",data/95
893,3572.0,sub_threshold_amplitude,Low global QRS amplitude (62 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 47, ""II"": 50, ""III"": 62, ""aVR"": 30, ""aVL"": 56, ""aVF"": 60, ""V1"": 30, ""V2"": 11, ""V3"": 47, ""V4"": 72, ""V5"": 51, ""V6"": 52}",data/95
1143,4572.0,sub_threshold_amplitude,Low global QRS amplitude (59 LSB) below adaptive detection threshold,V1+V2+I,none,0,"{""I"": 59, ""II"": 43, ""III"": 66, ""aVR"": 20, ""aVL"": 64, ""aVF"": 60, ""V1"": 30, ""V2"": 13, ""V3"": 34, ""V4"": 82, ""V5"": 33, ""V6"": 39}",data/95
365,1460.0,voting_insufficient,Only 1 lead (V4) detected beat; failed 2-of-3 fusion requirement,V4+I+II,V4,1,"{""I"": 60, ""II"": 67, ""III"": 65, ""aVR"": 52, ""aVL"": 63, ""aVF"": 67, ""V1"": 105, ""V2"": 99, ""V3"": 87, ""V4"": 87, ""V5"": 113, ""V6"": 142}",data/104
594,2376.0,voting_insufficient,Only 1 lead (V4) detected beat; failed 2-of-3 fusion requirement,V4+I+II,V4,1,"{""I"": 70, ""II"": 65, ""III"": 71, ""aVR"": 65, ""aVL"": 71, ""aVF"": 72, ""V1"": 119, ""V2"": 108, ""V3"": 92, ""V4"": 104, ""V5"": 110, ""V6"": 139}",data/104
826,3304.0,voting_insufficient,Only 1 lead (V4) detected beat; failed 2-of-3 fusion requirement,V4+I+II,V4,1,"{""I"": 57, ""II"": 56, ""III"": 58, ""aVR"": 59, ""aVL"": 57, ""aVF"": 59, ""V1"": 116, ""V2"": 112, ""V3"": 88, ""V4"": 102, ""V5"": 110, ""V6"": 120}",data/104
1059,4236.0,voting_insufficient,Only 1 lead (V4) detected beat; failed 2-of-3 fusion requirement,V4+I+II,V4,1,"{""I"": 60, ""II"": 55, ""III"": 59, ""aVR"": 62, ""aVL"": 59, ""aVF"": 58, ""V1"": 110, ""V2"": 107, ""V3"": 78, ""V4"": 87, ""V5"": 118, ""V6"": 113}",data/104
1291,5164.0,voting_insufficient,Only 1 lead (V4) detected beat; failed 2-of-3 fusion requirement,V4+I+II,V4,1,"{""I"": 63, ""II"": 57, ""III"": 61, ""aVR"": 67, ""aVL"": 61, ""aVF"": 59, ""V1"": 115, ""V2"": 103, ""V3"": 87, ""V4"": 77, ""V5"": 122, ""V6"": 100}",data/104
1517,6068.0,voting_insufficient,Only 1 lead (V4) detected beat; failed 2-of-3 fusion requirement,V4+I+II,V4,1,"{""I"": 74, ""II"": 58, ""III"": 72, ""aVR"": 79, ""aVL"": 73, ""aVF"": 71, ""V1"": 126, ""V2"": 112, ""V3"": 84, ""V4"": 95, ""V5"": 138, ""V6"": 118}",data/104
1746,6984.0,voting_insufficient,Only 1 lead (V4) detected beat; failed 2-of-3 fusion requirement,V4+I+II,V4,1,"{""I"": 70, ""II"": 50, ""III"": 66, ""aVR"": 79, ""aVL"": 68, ""aVF"": 63, ""V1"": 121, ""V2"": 91, ""V3"": 59, ""V4"": 92, ""V5"": 130, ""V6"": 101}",data/104
1978,7912.0,voting_insufficient,Only 1 lead (V4) detected beat; failed 2-of-3 fusion requirement,V4+I+II,V4,1,"{""I"": 80, ""II"": 59, ""III"": 76, ""aVR"": 87, ""aVL"": 78, ""aVF"": 75, ""V1"": 124, ""V2"": 108, ""V3"": 75, ""V4"": 95, ""V5"": 129, ""V6"": 93}",data/104
2205,8820.0,voting_insufficient,Only 1 lead (V4) detected beat; failed 2-of-3 fusion requirement,V4+V2+V5,V4,1,"{""I"": 107, ""II"": 89, ""III"": 106, ""aVR"": 109, ""aVL"": 106, ""aVF"": 104, ""V1"": 127, ""V2"": 109, ""V3"": 69, ""V4"": 120, ""V5"": 140, ""V6"": 103}",data/104
459,1836.0,sub_threshold_amplitude,Low global QRS amplitude (87 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 87, ""II"": 61, ""III"": 41, ""aVR"": 83, ""aVL"": 56, ""aVF"": 44, ""V1"": 87, ""V2"": 15, ""V3"": 72, ""V4"": 57, ""V5"": 61, ""V6"": 61}",data/111
711,2844.0,sub_threshold_amplitude,Low global QRS amplitude (87 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 87, ""II"": 47, ""III"": 62, ""aVR"": 67, ""aVL"": 71, ""aVF"": 53, ""V1"": 53, ""V2"": 36, ""V3"": 86, ""V4"": 92, ""V5"": 84, ""V6"": 45}",data/111
962,3848.0,sub_threshold_amplitude,Low global QRS amplitude (66 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 64, ""II"": 66, ""III"": 49, ""aVR"": 78, ""aVL"": 51, ""aVF"": 55, ""V1"": 30, ""V2"": 24, ""V3"": 82, ""V4"": 84, ""V5"": 94, ""V6"": 45}",data/111
1210,4840.0,sub_threshold_amplitude,Low global QRS amplitude (45 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 44, ""II"": 45, ""III"": 37, ""aVR"": 42, ""aVL"": 39, ""aVF"": 41, ""V1"": 10, ""V2"": 16, ""V3"": 65, ""V4"": 64, ""V5"": 66, ""V6"": 45}",data/111
1461,5844.0,sub_threshold_amplitude,Low global QRS amplitude (59 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 59, ""II"": 49, ""III"": 41, ""aVR"": 49, ""aVL"": 45, ""aVF"": 42, ""V1"": 39, ""V2"": 17, ""V3"": 83, ""V4"": 87, ""V5"": 79, ""V6"": 44}",data/111
1712,6848.0,sub_threshold_amplitude,Low global QRS amplitude (84 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 41, ""II"": 84, ""III"": 74, ""aVR"": 68, ""aVL"": 66, ""aVF"": 78, ""V1"": 37, ""V2"": 38, ""V3"": 78, ""V4"": 73, ""V5"": 87, ""V6"": 58}",data/111
1960,7840.0,sub_threshold_amplitude,Low global QRS amplitude (41 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 32, ""II"": 40, ""III"": 41, ""aVR"": 23, ""aVL"": 40, ""aVF"": 41, ""V1"": 68, ""V2"": 18, ""V3"": 68, ""V4"": 79, ""V5"": 70, ""V6"": 52}",data/111
2211,8844.0,sub_threshold_amplitude,Low global QRS amplitude (57 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 50, ""II"": 57, ""III"": 56, ""aVR"": 35, ""aVL"": 55, ""aVF"": 57, ""V1"": 55, ""V2"": 45, ""V3"": 64, ""V4"": 75, ""V5"": 75, ""V6"": 62}",data/111
149,596.0,startup_unsettled,Beat occurred in initial 0.75s startup calibration window,I+III+aVL,none,0,"{""I"": 91, ""II"": 88, ""III"": 67, ""aVR"": 99, ""aVL"": 81, ""aVF"": 34, ""V1"": 99, ""V2"": 130, ""V3"": 133, ""V4"": 122, ""V5"": 50, ""V6"": 73}",data/116
