sample_index,time_ms,category,mechanism,selected_leads,voting_leads,vote_count,reference_lead,local_raw_amplitude_lsb,local_energy,waveform_snippet_len,record_id
6,24.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,173,28,86,data/1
2314,9256.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1320ms from last QRS),I+II+III,I+II+III,3,I,169,5,160,data/1
62,248.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+aVR+aVF,II+aVR+aVF,3,II,129,1,142,data/2
2345,9380.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (944ms from last QRS),I+II+aVR,I+II+aVR,3,I,94,2,160,data/2
100,400.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,-3,24,160,data/3
2352,9408.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (936ms from last QRS),I+II+III,I+II+III,3,I,-16,26,160,data/3
15,60.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+III+aVL,I+III+aVL,3,I,143,11,95,data/4
221,884.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,aVL+V4+I,aVL+V4+I,3,aVL,122,9,160,data/5
500,2000.0,cross_window_boundary,2.0-second SQI window boundary artifact / edge stitching,I+II+aVR,I+II+aVR,3,I,155,6,160,data/5
2300,9200.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1032ms from last QRS),I+II+aVR,I+II+aVR,3,I,159,4,160,data/5
83,332.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,132,4,160,data/6
2442,9768.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1180ms from last QRS),I+II+aVR,I+II+aVR,3,I,133,5,138,data/6
238,952.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+aVR,I+II+aVR,3,I,100,2,160,data/7
2430,9720.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1016ms from last QRS),I+II+aVR,I+II+aVR,3,I,117,2,150,data/7
140,560.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),III+aVF+I,III+aVF,2,III,-96,22,160,data/8
2423,9692.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (768ms from last QRS),II+III+aVL,II+III+aVL,3,II,61,0,157,data/8
165,660.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,142,4,160,data/9
2287,9148.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (896ms from last QRS),I+II+III,I+II+III,3,I,157,7,160,data/9
107,428.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,134,4,160,data/10
