sample_index,time_ms,category,mechanism,selected_leads,voting_leads,vote_count,reference_lead,local_raw_amplitude_lsb,local_energy,waveform_snippet_len,record_id
6,24.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,173,29,86,data/1
2314,9256.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1320ms from last QRS),I+II+III,I+II+III,3,I,169,6,160,data/1
2,8.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),aVL+I+III,aVL+I+III,3,aVL,-94,9,82,data/2
62,248.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),aVL+I+III,aVL+I+III,3,aVL,1,12,142,data/2
2345,9380.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (944ms from last QRS),aVL+I+II,I+II,2,aVL,13,3,160,data/2
98,392.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),aVR+I+II,aVR+I+II,3,aVR,-163,6,160,data/3
2350,9400.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (928ms from last QRS),V1+I+II,V1+I+II,3,V1,-154,3,160,data/3
8,32.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,-34,1,88,data/4
2474,9896.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (976ms from last QRS),I+II+III,I+II+III,3,I,152,8,106,data/4
223,892.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,III+aVL+V2,III+aVL+V2,3,III,-72,9,160,data/5
500,2000.0,cross_window_boundary,2.0-second SQI window boundary artifact / edge stitching,I+II+aVR,I+II+aVR,3,I,155,8,160,data/5
2300,9200.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1032ms from last QRS),I+II+III,I+II+III,3,I,159,4,160,data/5
1,4.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),III+aVL+aVF,III+aVL+aVF,3,III,-71,0,81,data/6
84,336.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),III+aVL+aVF,III+aVL+aVF,3,III,78,4,160,data/6
2442,9768.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1180ms from last QRS),I+II+III,I+II+III,3,I,133,6,138,data/6
2,8.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+III+aVR,II+III+aVR,3,II,87,8,82,data/7
238,952.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,II+III+aVR,II+III+aVR,3,II,98,9,160,data/7
2431,9724.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1020ms from last QRS),I+II+III,I+II+III,3,I,132,5,149,data/7
133,532.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),V1+V2+V3,V1+V2+V3,3,V1,-127,1,160,data/8
189,756.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,V1+V2+V3,V1+V2+V3,3,V1,51,16,160,data/8
399,1596.0,t_wave_misdetection,Peaked T-wave/ST segment 184ms post-QRS exceeding detection threshold,V1+V2+V3,V1+V2+V3,3,V1,54,19,160,data/8
608,2432.0,t_wave_misdetection,Peaked T-wave/ST segment 184ms post-QRS exceeding detection threshold,V1+V2+V3,V1+V2+V3,3,V1,51,17,160,data/8
1426,5704.0,t_wave_misdetection,Peaked T-wave/ST segment 184ms post-QRS exceeding detection threshold,V1+V2+V3,V1+V2+V3,3,V1,54,18,160,data/8
1638,6552.0,t_wave_misdetection,Peaked T-wave/ST segment 188ms post-QRS exceeding detection threshold,V1+V2+V3,V1+V2+V3,3,V1,57,16,160,data/8
1847,7388.0,t_wave_misdetection,Peaked T-wave/ST segment 184ms post-QRS exceeding detection threshold,V1+V2+V3,V1+V2+V3,3,V1,43,16,160,data/8
2059,8236.0,t_wave_misdetection,Peaked T-wave/ST segment 184ms post-QRS exceeding detection threshold,V1+V2+V3,V1+V2+V3,3,V1,54,18,160,data/8
2269,9076.0,t_wave_misdetection,Peaked T-wave/ST segment 152ms post-QRS exceeding detection threshold,V1+V2+V3,V1+V2+V3,3,V1,55,19,160,data/8
2424,9696.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (772ms from last QRS),V1+V2+V3,V1+V2+V3,3,V1,-128,2,156,data/8
2480,9920.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (996ms from last QRS),V1+V2+V3,V1+V2+V3,3,V1,40,15,100,data/8
166,664.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),aVF+V6+I,aVF+V6+I,3,aVF,85,3,160,data/9
2287,9148.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (896ms from last QRS),aVF+I+II,I+II,2,aVF,45,3,160,data/9
103,412.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),aVF+I+II,aVF+I+II,3,aVF,-123,1,160,data/10
2305,9220.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (992ms from last QRS),I+II+III,I+II+III,3,I,138,6,160,data/10
137,548.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),III+I+II,III+I+II,3,III,-36,4,160,data/11
2388,9552.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (992ms from last QRS),III+I+II,III+I+II,3,III,-68,3,160,data/11
1,4.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,-51,0,81,data/12
133,532.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,-52,15,160,data/12
196,784.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+aVR,I+II+aVR,3,I,86,18,160,data/12
2381,9524.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1112ms from last QRS),III+I+II,III+I+II,3,III,-30,8,160,data/12
206,824.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,167,2,160,data/13
2252,9008.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1036ms from last QRS),V6+I+II,V6+I+II,3,V6,145,3,160,data/13
80,320.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,69,3,160,data/14
2407,9628.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (692ms from last QRS),I+II+III,I+II+III,3,I,56,3,160,data/14
182,728.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,145,15,160,data/15
2317,9268.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (940ms from last QRS),I+II+III,I+II+III,3,I,141,9,160,data/15
113,452.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,129,7,160,data/16
2370,9480.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (848ms from last QRS),I+II+III,I+II+III,3,I,150,11,160,data/16
3,12.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+III+aVR,II+III+aVR,3,II,-58,6,83,data/17
181,724.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+III+aVR,II+III+aVR,3,II,120,12,160,data/17
2464,9856.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (800ms from last QRS),I+II+III,I+II+III,3,I,135,5,116,data/17
1,4.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+III+aVL,II+III+aVL,3,II,62,0,81,data/18
198,792.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,II+III+aVL,II+III+aVL,3,II,82,22,160,data/18
2470,9880.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (756ms from last QRS),I+II+III,I+II+III,3,I,133,4,110,data/18
201,804.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,aVF+I+II,aVF+I+II,3,aVF,63,5,160,data/19
2418,9672.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (992ms from last QRS),aVF+I+II,aVF+I+II,3,aVF,68,5,160,data/19
230,920.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,28,23,160,data/20
1673,6692.0,t_wave_misdetection,Peaked T-wave/ST segment 224ms post-QRS exceeding detection threshold,aVR+V1+I,aVR+V1,2,aVR,21,20,160,data/20
2311,9244.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (948ms from last QRS),V1+I+II,V1+I+II,3,V1,-154,3,160,data/20
79,316.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+V3+V5,I+V3+V5,3,I,137,16,159,data/21
1365,5460.0,t_wave_misdetection,Peaked T-wave/ST segment 212ms post-QRS exceeding detection threshold,I+V2+V3,I+V2+V3,3,I,-9,23,160,data/21
1984,7936.0,t_wave_misdetection,Peaked T-wave/ST segment 224ms post-QRS exceeding detection threshold,I+V3+II,I+V3,2,I,-11,14,160,data/21
2185,8740.0,t_wave_misdetection,Peaked T-wave/ST segment 212ms post-QRS exceeding detection threshold,I+V2+V3,I+V2+V3,3,I,-12,20,160,data/21
2337,9348.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (820ms from last QRS),I+V2+V3,I+V2+V3,3,I,86,10,160,data/21
14,56.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,128,3,94,data/22
2363,9452.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (704ms from last QRS),I+II+III,I+II+III,3,I,115,3,160,data/22
105,420.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),V1+I+II,V1+I+II,3,V1,2,1,160,data/23
2391,9564.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1076ms from last QRS),V1+I+II,V1+I+II,3,V1,141,7,160,data/23
21,84.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+aVL+III,I+aVL+III,3,I,116,2,101,data/24
90,360.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+aVL+III,I+aVL,2,I,-47,4,160,data/24
400,1600.0,t_wave_misdetection,Peaked T-wave/ST segment 288ms post-QRS exceeding detection threshold,I+aVL+III,I+aVL+III,3,I,-46,7,160,data/24
697,2788.0,t_wave_misdetection,Peaked T-wave/ST segment 296ms post-QRS exceeding detection threshold,aVL+I+aVR,aVL+I,2,aVL,-44,5,160,data/24
996,3984.0,cross_window_boundary,2.0-second SQI window boundary artifact / edge stitching,aVL+I+aVR,aVL+I+aVR,3,aVL,-53,7,160,data/24
1005,4020.0,cross_window_boundary,2.0-second SQI window boundary artifact / edge stitching,aVL+III+V5,aVL+III+V5,3,aVL,-58,2,160,data/24
1299,5196.0,t_wave_misdetection,Peaked T-wave/ST segment 336ms post-QRS exceeding detection threshold,aVL+III+V5,aVL+III+V5,3,aVL,-65,3,160,data/24
1592,6368.0,t_wave_misdetection,Peaked T-wave/ST segment 324ms post-QRS exceeding detection threshold,aVL+I+III,aVL+I+III,3,aVL,-68,3,160,data/24
1871,7484.0,t_wave_misdetection,Peaked T-wave/ST segment 288ms post-QRS exceeding detection threshold,aVL+I+III,aVL+I+III,3,aVL,-55,11,160,data/24
2184,8736.0,t_wave_misdetection,Peaked T-wave/ST segment 320ms post-QRS exceeding detection threshold,I+aVL+III,I+aVL+III,3,I,-54,4,160,data/24
2407,9628.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1212ms from last QRS),I+aVL+III,I+III,2,I,109,2,160,data/24
2478,9912.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1496ms from last QRS),I+aVL+III,I+aVL+III,3,I,-46,5,102,data/24
3,12.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,-50,6,83,data/25
260,1040.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,109,6,160,data/25
2293,9172.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1080ms from last QRS),I+II+III,I+II+III,3,I,144,7,160,data/25
186,744.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),V6+I+II,V6+I+II,3,V6,138,6,160,data/26
2312,9248.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (920ms from last QRS),I+II+III,I+II+III,3,I,136,15,160,data/26
88,352.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,131,4,160,data/27
2295,9180.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1112ms from last QRS),I+II+III,I+II+III,3,I,144,7,160,data/27
119,476.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),V3+I+II,V3+I+II,3,V3,-105,13,160,data/28
2408,9632.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1028ms from last QRS),V2+V3+I,V2+V3+I,3,V2,-136,10,160,data/28
2461,9844.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1240ms from last QRS),V2+V3+I,V2+V3,2,V2,33,11,119,data/28
7,28.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,155,19,87,data/29
2316,9264.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (920ms from last QRS),I+II+III,I+II+III,3,I,167,8,160,data/29
56,224.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),III+V2+I,III+V2+I,3,III,131,6,136,data/30
1304,5216.0,t_wave_misdetection,Peaked T-wave/ST segment 236ms post-QRS exceeding detection threshold,V2+III+I,V2+III,2,V2,30,14,160,data/30
2459,9836.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1236ms from last QRS),V2+I+II,V2+I+II,3,V2,-108,4,121,data/30
88,352.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,147,9,160,data/31
2404,9616.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (936ms from last QRS),I+II+III,I+II+III,3,I,154,10,160,data/31
92,368.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,167,7,160,data/32
2474,9896.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (944ms from last QRS),I+II+III,I+II+III,3,I,170,8,106,data/32
128,512.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,133,4,160,data/33
2336,9344.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (956ms from last QRS),V1+I+II,V1+I+II,3,V1,-94,2,160,data/33
3,12.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+III+aVR,II+aVR,2,II,34,3,83,data/34
110,440.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+III+aVR,II+III+aVR,3,II,65,0,160,data/34
704,2816.0,t_wave_misdetection,Peaked T-wave/ST segment 304ms post-QRS exceeding detection threshold,V1+III+aVR,V1+aVR,2,V1,23,1,160,data/34
1197,4788.0,t_wave_misdetection,Peaked T-wave/ST segment 272ms post-QRS exceeding detection threshold,V1+II+V5,V1+II,2,V1,26,2,160,data/34
1437,5748.0,t_wave_misdetection,Peaked T-wave/ST segment 232ms post-QRS exceeding detection threshold,V1+II+V5,V1+V5,2,V1,21,6,160,data/34
1706,6824.0,t_wave_misdetection,Peaked T-wave/ST segment 308ms post-QRS exceeding detection threshold,V1+V5+I,V1+V5,2,V1,17,2,160,data/34
1933,7732.0,t_wave_misdetection,Peaked T-wave/ST segment 220ms post-QRS exceeding detection threshold,V1+V5+I,V1+I,2,V1,20,9,160,data/34
2184,8736.0,t_wave_misdetection,Peaked T-wave/ST segment 220ms post-QRS exceeding detection threshold,V1+V2+I,V1+V2,2,V1,22,7,160,data/34
2372,9488.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (972ms from last QRS),V1+V2+I,V1+V2+I,3,V1,-59,2,160,data/34
2432,9728.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1212ms from last QRS),V1+V2+I,V1+V2+I,3,V1,21,8,148,data/34
82,328.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),aVR+I+II,aVR+I+II,3,aVR,-100,16,160,data/35
1758,7032.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (456ms from last QRS),aVR+II+V1,aVR+V1,2,aVR,14,4,160,data/35
1850,7400.0,t_wave_misdetection,Peaked T-wave/ST segment 244ms post-QRS exceeding detection threshold,aVR+II+V1,aVR+II,2,aVR,-41,6,160,data/35
1961,7844.0,t_wave_misdetection,Peaked T-wave/ST segment 268ms post-QRS exceeding detection threshold,aVR+II+V1,aVR+II,2,aVR,41,2,160,data/35
2468,9872.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (432ms from last QRS),aVR+I+III,aVR+I+III,3,aVR,-28,15,112,data/35
186,744.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),III+I+II,III+I+II,3,III,-62,11,160,data/36
2263,9052.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (964ms from last QRS),I+II+III,I+II,2,I,135,22,160,data/36
30,120.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,150,10,110,data/37
2000,8000.0,cross_window_boundary,2.0-second SQI window boundary artifact / edge stitching,I+II+aVR,I+II+aVR,3,I,119,8,160,data/37
2459,9836.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (924ms from last QRS),I+II+aVR,I+II+aVR,3,I,103,9,121,data/37
155,620.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),V2+I+II,V2+I+II,3,V2,-82,1,160,data/38
242,968.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,101,7,160,data/39
2482,9928.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1120ms from last QRS),I+II+III,I+II+III,3,I,142,18,98,data/39
91,364.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,152,6,160,data/40
2394,9576.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (980ms from last QRS),I+II+III,I+II+III,3,I,118,10,160,data/40
64,256.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,144,14,144,data/41
2204,8816.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1236ms from last QRS),I+II+III,I+II+III,3,I,120,9,160,data/41
28,112.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,107,11,108,data/42
2408,9632.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1072ms from last QRS),I+II+III,I+II+III,3,I,148,9,160,data/42
98,392.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),V4+I+II,V4+I+II,3,V4,63,2,160,data/43
2322,9288.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1004ms from last QRS),III+I+II,III+I+II,3,III,16,2,160,data/43
1,4.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),V2+V3+V4,V2+V3+V4,3,V2,39,0,81,data/44
142,568.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),V2+V3+V4,V2+V3+V4,3,V2,-120,1,160,data/44
199,796.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,V2+V3+V4,V2+V3+V4,3,V2,42,17,160,data/44
448,1792.0,t_wave_misdetection,Peaked T-wave/ST segment 208ms post-QRS exceeding detection threshold,V2+V3+V4,V2+V3+V4,3,V2,35,17,160,data/44
694,2776.0,t_wave_misdetection,Peaked T-wave/ST segment 220ms post-QRS exceeding detection threshold,V1+V2+V3,V2+V3,2,V1,-10,14,160,data/44
880,3520.0,t_wave_misdetection,Peaked T-wave/ST segment 224ms post-QRS exceeding detection threshold,V1+V2+V3,V1+V2+V3,3,V1,15,12,160,data/44
1067,4268.0,t_wave_misdetection,Peaked T-wave/ST segment 228ms post-QRS exceeding detection threshold,V2+V3+V4,V2+V3+V4,3,V2,45,16,160,data/44
1304,5216.0,t_wave_misdetection,Peaked T-wave/ST segment 220ms post-QRS exceeding detection threshold,V2+V3+V4,V2+V3+V4,3,V2,36,18,160,data/44
