sample_index,time_ms,category,mechanism,selected_leads,voting_leads,vote_count,reference_lead,local_raw_amplitude_lsb,local_energy,waveform_snippet_len,record_id
2314,9256.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1320ms from last QRS),I+II+III,I+II+III,3,I,169,5,160,data/1
2345,9380.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (944ms from last QRS),I+II+III,I+II+III,3,I,94,2,160,data/2
100,400.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,-3,24,160,data/3
2352,9408.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (936ms from last QRS),I+II+III,I+II+III,3,I,-16,26,160,data/3
222,888.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,III+aVL+V4,III+aVL+V4,3,III,-70,6,160,data/5
2300,9200.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1032ms from last QRS),I+II+III,I+II+III,3,I,159,4,160,data/5
84,336.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,113,7,160,data/6
2442,9768.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1180ms from last QRS),I+II+III,I+II+III,3,I,133,5,138,data/6
240,960.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,121,5,160,data/7
2431,9724.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1020ms from last QRS),I+II+III,I+II+III,3,I,132,3,149,data/7
140,560.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,35,8,160,data/8
2431,9724.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (800ms from last QRS),I+II+III,I+II+III,3,I,15,8,149,data/8
165,660.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,142,4,160,data/9
2287,9148.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (896ms from last QRS),I+II+III,I+II+III,3,I,157,7,160,data/9
107,428.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,134,4,160,data/10
2305,9220.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (992ms from last QRS),I+II+III,I+II+III,3,I,138,6,160,data/10
137,548.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,152,6,160,data/11
2388,9552.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (992ms from last QRS),I+II+III,I+II+III,3,I,154,6,160,data/11
133,532.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),aVR+I+II,aVR+I+II,3,aVR,95,12,160,data/12
2381,9524.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1112ms from last QRS),I+II+III,I+II+III,3,I,84,3,160,data/12
206,824.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,167,1,160,data/13
1025,4100.0,t_wave_misdetection,Peaked T-wave/ST segment 216ms post-QRS exceeding detection threshold,V1+II+I,V1+II,2,V1,18,18,160,data/13
2049,8196.0,t_wave_misdetection,Peaked T-wave/ST segment 224ms post-QRS exceeding detection threshold,II+aVF+V1,II+V1,2,II,-18,16,160,data/13
